id,nome,formato,licensa,dataPublicacao,dataAtualizacao,periodoTempo,possuiDownload,descricao,acesso
29,"Passageiros transportados, número de partidas, quilômetros percorridos, frota média, lugares ofertados e taxa de ocupação nas linhas de bonde de Santa Teresa no Município do Rio de Janeiro entre 1990 e 2023",['Microsoft Excel'],CC BY 4.0,,19 de fevereiro de 2024,,True,,Público
30,"Movimentação, segundo natureza de carga, no Porto do Rio de Janeiro entre 1968-2009",['Microsoft Excel'],CC BY 4.0,,3 de outubro de 2023,1968-2009,True,,Público
31,"Movimentação total de desembarque de carga de contêiner, segundo dimensão, no Porto do Rio de Janeiro entre 1994-2009",['Microsoft Excel'],CC BY 4.0,,11 de setembro de 2023,1994-2009,True,,Público
32,Multas aplicadas aos modos de transporte nos últimos cinco anos,['Document Link'],CC BY 4.0,,3 de abril de 2024,,False,,Público
33,Movimento de passageiros e de aeronaves nos aeroportos no Município do Rio de Janeiro entre 1994-2023,['Microsoft Excel'],CC BY 4.0,,11 de abril de 2024,1994-2023,True,,Público
34,"Total de equipamentos de fiscalização eletrônica de velocidade de veículos instalados por Áreas de Planejamento (AP), Regiões de Planejamento (RP), Regiões Administrativas (RA) e Bairros no Município do Rio de Janeiro - 2016",['Microsoft Excel'],CC BY 4.0,,6 de setembro de 2023,,True,,Público
35,"Movimentação de embarque de carga em contêineres, segundo a dimensão pela navegação de cabotagem, no Porto do Rio de Janeiro entre 1994-2009",['Microsoft Excel'],CC BY 4.0,,11 de setembro de 2023,1994-2009,True,,Público
36,"Movimento internacional e doméstico de passageiros, aeronaves e cargas nos aeroportos no Município do Rio de Janeiro entre 2003-2014",['Microsoft Excel'],CC BY 4.0,,28 de setembro de 2023,2003-2014,True,,Público
37,Total mensal de transferência de propriedade de veículos no Município do Rio de Janeiro entre 2001-2023,['Microsoft Excel'],CC BY 4.0,,24 de janeiro de 2024,2001-2023,True,,Público
38,"Movimento anual, média diária de ônibus e passageiros e média de passageiros por ônibus na Rodoviária Novo Rio entre 1992-2023",['Microsoft Excel'],CC BY 4.0,,11 de março de 2024,1992-2023,True,,Público
39,"Movimentação total de contêiner, segundo a dimensão, no Porto do Rio de Janeiro entre 1994-2008",['Microsoft Excel'],CC BY 4.0,,13 de setembro de 2023,1994-2008,True,,Público
40,"Passageiros transportados, por trajeto, no sistema hidroviário no Município do Rio de Janeiro entre 1994-2023",['Microsoft Excel'],CC BY 4.0,,23 de fevereiro de 2024,1994-2023,True,,Público
41,"Passageiros transportados no sistema VLT, segundo as estações, no Município do Rio de Janeiro entre 2016-2023",['Microsoft Excel'],CC BY 4.0,,5 de março de 2024,2016-2023,True,,Público
42,Estações de Trem,['Feature Service'],CC BY 4.0,,Data de Atualização: 6 de setembro de 2023,,False,,Público
43,"Publicação DATARIO - O Rio em Números: Cidade, Infraestrutura, Economia, Capital Humano, Qualidade de Vida, Turismo, Rio Globalizado, Petróleo e Gás Natural (Setembro/2010)",,,,False,,True,,
44,Indicadores do sistema de ônibus no Município do Rio de Janeiro entre 1984-2018,['Microsoft Excel'],CC BY 4.0,,31 de agosto de 2023,1984-2018,True,,Público
45,Rede Cicloviária planejada,"['csv', 'shapefile', 'geojson', 'kml']",CC BY 4.0,,9 de março de 2023,,True,"{'ap': 'Inteiro longo', 'trecho': 'String de caractere', 'túnel': 'String de caractere', 'km': 'Número decimal de precisão dupla', 'trecho_decreto': 'Inteiro longo', 'tipo': 'String de caractere', 'SHAPE__Length': 'Número decimal de precisão dupla'}",Público
46,Trajetos Metrô,"['csv', 'shapefile', 'geojson', 'kml']",CC BY 4.0,,Dados Atualizados: 19 de julho de 2024,,True,"{'tipo': 'String de caractere', 'codlinmetr': 'Inteiro curto', 'flg_ativa': 'Inteiro curto', 'status': 'Inteiro curto', 'data_inc': 'Data', 'st_length(shape)': 'Número decimal de precisão dupla'}",Público
47,"Movimento de embarcações (atracações), segundo o sentido e tipo de navegação, no Porto do Rio de Janeiro entre 2010-2023",['Microsoft Excel'],CC BY 4.0,,9 de julho de 2024,2010-2023,True,,Público
48,Plano Verão 2022/2023: Ações Estratégicas e Integradas,,,,False,,True,,
49,Trajetos BRT,"['csv', 'shapefile', 'geojson', 'kml']",CC BY 4.0,,Dados Atualizados: 19 de julho de 2024,,True,"{'objectid_1': 'Número decimal de precisão dupla', 'nome': 'String de caractere', 'km': 'Número decimal de precisão dupla', 'ano': 'String de caractere', 'SHAPE__Length': 'Número decimal de precisão dupla'}",Público
50,Viagens realizadas e passageiros transportados nos terminais rodoviários administrados pela CODERTE e SOCICAM no Município do Rio de Janeiro - 1990-2023,['Microsoft Excel'],CC BY 4.0,,29 de abril de 2024,1990-2023,True,,Público
51,"Localização das principais vias terrestres (rodoviárias, ferroviárias e metroviárias) no Município do Rio de Janeiro - 2004",['Image'],CC BY 4.0,,5 de setembro de 2023,,True,,Público
